latitude,longitude,depth,datetime,magnitude,event_id
51.78,95.91,20,2011-12-27T15:22:03,6.69,20111227_152203.a
-19.16,168.45,51,2011-12-26T16:12:37,5.54,20111226_161237.a
-16.06,-173.61,95,2011-12-26T04:48:13,5.99,20111226_044813.a
-52.19,28.35,24,2011-12-23T19:12:39,5.93,20111223_191239.a
-43.55,172.58,12,2011-12-23T02:18:06,5.8,20111223_021806.a
-43.67,172.56,12,2011-12-23T00:58:42,5.74,20111223_005842.a
-33.19,-178.66,30,2011-12-21T13:37:20,5.69,20111221_133720.a
-28.81,-176.48,14,2011-12-19T05:32:21,5.64,20111219_053221.a
-1.14,119.56,12,2011-12-19T01:23:26,5.64,20111219_012326.a
-46.01,-76.57,15,2011-12-16T12:54:26,5.73,20111216_125426.a
31.73,141.89,12,2011-12-15T15:12:49,5.63,20111215_151249.a
-32.54,-178.72,50,2011-12-15T10:10:12,5.93,20111215_101012.a
-56.41,-143.23,21,2011-12-14T11:07:07,5.51,20111214_110707.a
-15.33,-174.68,16,2011-12-14T00:48:15,5.77,20111214_004815.a
4.71,-82.64,25,2011-12-13T07:28:15,5.54,20111213_072815.a
17.89,-99.84,55,2011-12-11T01:47:28,6.46,20111211_014728.a
-28.03,-71.55,23,2011-12-07T22:23:14,6.07,20111207_222314.a
-1.45,126.49,19,2011-12-07T13:38:32,5.82,20111207_133832.a
-4.78,133.64,12,2011-12-05T19:28:37,5.68,20111205_192837.a
18.07,-59.7,12,2011-12-03T09:27:15,5.61,20111203_092715.a
0.15,120.46,92,2011-12-02T05:19:28,5.52,20111202_051928.a
7.9,94.01,12,2011-11-30T19:42:36,5.55,20111130_194236.a
15.54,118.97,12,2011-11-30T00:27:09,6.04,20111130_002709.a
-1.28,-15.6,12,2011-11-29T00:30:35,5.93,20111129_003035.a
-5.77,153.62,33,2011-11-28T12:26:50,6.13,20111128_122650.a
41.79,142.94,44,2011-11-24T10:25:37,6.16,20111124_102537.a
37.32,141.65,41,2011-11-23T19:24:34,6.12,20111123_192434.a
-37.51,179.62,12,2011-11-18T07:51:27,5.75,20111118_075127.a
33.73,-38.49,14,2011-11-18T06:00:58,5.7,20111118_060058.a
13.92,-92.25,26,2011-11-17T13:31:01,5.81,20111117_133101.a
8.47,-103.44,12,2011-11-17T06:52:43,5.61,20111117_065243.a
-1.88,-81.75,16,2011-11-17T01:57:04,5.98,20111117_015704.a
-5.3,140.39,18,2011-11-15T23:42:33,5.72,20111115_234233.a
-0.95,126.89,15,2011-11-14T04:05:17,6.4,20111114_040517.a
-55.77,-124.3,25,2011-11-11T22:50:46,5.57,20111111_225046.a
-55.72,-124.57,21,2011-11-11T10:41:42,6.02,20111111_104142.a
10.56,146.07,12,2011-11-09T21:52:24,5.64,20111109_215224.a
38.3,43.28,14,2011-11-09T19:23:37,5.69,20111109_192337.a
-63.1,170.91,12,2011-11-07T16:51:28,5.78,20111107_165128.a
54.02,-162.49,34,2011-11-06T08:08:20,5.68,20111106_080820.a
35.61,-96.72,12,2011-11-06T03:53:13,5.71,20111106_035313.a
-23.44,-70.58,37,2011-11-05T07:14:00,5.73,20111105_071400.a
-18.31,168.06,45,2011-11-05T01:49:22,5.92,20111105_014922.a
-55.34,-129.08,15,2011-11-02T14:59:32,6.17,20111102_145932.a
19.93,-109.32,17,2011-11-01T12:32:04,6.22,20111101_123204.a
43.55,82.41,39,2011-11-01T00:21:29,5.55,20111101_002129.a
-25.82,-71.01,34,2011-10-30T18:53:50,5.78,20111030_185350.a
-3.46,101.18,47,2011-10-30T11:52:31,5.56,20111030_115231.a
-14.53,-76.09,22,2011-10-28T23:46:09,5.56,20111028_234609.a
